Species_Individual_Panicle_Flower,April_9,April_10,April_11,April_12,April_13,April_14,April_15,April_16,April_17,April_18,April_19,April_20,April_21,April_22,April_23,April_24,April_25,April_26,April_27,April_28,April_29,April_30,May_1,May_2
grandiflorum_1_1_1,26.5,26.6,26.4,26.7,26.8,24.8,22.5,,,,,,,,,,,,,,,,,
grandiflorum_1_1_2,4.9,6.2,10.5,22.2,26,25,25.3,25.3,25.5,,,,,,,,,,,,,,,
grandiflorum_1_1_3,3,4.1,5.2,7.6,20.8,24.8,24.5,23.9,24.3,27,,,,,,,,,,,,,,
grandiflorum_1_1_4,7.3,10.9,23.1,25.9,25.7,24.9,25,24.6,24.9,,,,,,,,,,,,,,,
grandiflorum_1_1_5,11.9,14.2,25,26.5,27.2,27,26.5,25.9,25.5,,,,,,,,,,,,,,,
grandiflorum_1_1_6,2.9,3.9,3.7,4.6,7.7,11.6,21.5,25.1,25.6,26.6,26.6,,,,,,,,,,,,,
grandiflorum_1_1_7,11,19.2,24,26.2,26.5,25,25.5,,,,,,,,,,,,,,,,,
grandiflorum_1_1_8,3.2,4.3,5.1,7,10,24.9,24.6,23.2,22.8,25.8,28,,,,,,,,,,,,,
grandiflorum_1_1_9,26.5,26.3,25.6,25.4,25.5,24.9,24.6,,,,,,,,,,,,,,,,,
grandiflorum_1_1_10,5.2,6.5,18,26.5,26.9,27,26,24.7,25.1,28.2,,,,,,,,,,,,,,
grandiflorum_1_1_11,26,25.5,25.3,26.7,26.9,25.2,26.6,,,,,,,,,,,,,,,,,
grandiflorum_1_1_12,8.8,18.3,25.6,26.4,25.7,26.7,26.4,26.2,20.9,,,,,,,,,,,,,,,
grandiflorum_1_1_13,5.8,9,8.5,10.9,24.1,23,21.9,16,24.8,,,,,,,,,,,,,,,
grandiflorum_1_1_14,26.6,27.5,28,28.2,29.5,,,,,,,,,,,,,,,,,,,
grandiflorum_1_1_15,24.3,23.5,24.9,24.5,25.7,25.5,24.9,23.9,,,,,,,,,,,,,,,,
grandiflorum_1_1_16,10,22.2,23.3,24.5,25.7,26.4,26.4,26.5,26.5,,,,,,,,,,,,,,,
grandiflorum_1_1_17,2.5,2.3,3.2,4.3,4.6,8.3,13.5,23.3,23,24.5,,,,,,,,,,,,,,
grandiflorum_1_2_1,24.9,26.5,25.2,26.1,26.5,,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_2,4.6,5.5,10.3,14.2,24.9,24,21.8,21.6,22.5,25.7,27,,,,,,,,,,,,,
grandiflorum_1_2_3,23.3,24,24,24.2,24.4,23.6,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_4,2.5,2.5,3.1,2.9,3.9,5,8.4,14.7,23.6,24.6,25,21,,,,,,,,,,,,
grandiflorum_1_2_5,7.5,8.9,22.6,24,24.5,24.6,23.7,23.7,23.7,,,,,,,,,,,,,,,
grandiflorum_1_2_6,19.5,24.1,24.6,24.9,24.6,,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_7,2.9,3.1,2.6,2.4,4.9,11.2,20.2,24,23.6,25,25,,,,,,,,,,,,,
grandiflorum_1_2_8,24.6,25.3,24.6,25.5,24.8,,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_9,4.7,7.3,13.1,19.6,24.6,24.1,22.1,24.6,24.1,,,,,,,,,,,,,,,
grandiflorum_1_2_10,25.6,25.6,26,25.5,24.7,,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_11,2.9,2.8,2.9,3.5,5.5,9,16.2,24,23.7,25.1,25,,,,,,,,,,,,,
grandiflorum_1_2_12,7.1,11.5,22.1,23,23.3,24.5,22.9,23,,,,,,,,,,,,,,,,
grandiflorum_1_2_13,23.2,24.7,25.9,25.3,25.2,,,,,,,,,,,,,,,,,,,
grandiflorum_1_2_14,2.8,2.3,2.3,3.5,3.4,4,6.5,13.4,23.7,26.1,26,,,,,,,,,,,,,
grandiflorum_1_2_15,6.3,12.1,23.6,24.1,23.5,23.2,23,23,23.5,,,,,,,,,,,,,,,
grandiflorum_1_3_1,24.7,25.5,,,,,,,,,,,,,,,,,,,,,,
grandiflorum_1_3_2,13.2,22.2,23.2,23.7,23.6,23.7,23.2,23.8,23.7,,,,,,,,,,,,,,,
grandiflorum_1_3_3,22.6,23.3,23.2,22.9,23.5,23.1,22.8,21.1,23.2,,,,,,,,,,,,,,,
grandiflorum_1_3_4,22.7,23.2,22.5,23.7,24.8,,,,,,,,,,,,,,,,,,,
grandiflorum_1_3_5,7,9.8,12.5,14.9,18.7,22,20.3,23.2,19,20,23,,,,,,,,,,,,,
grandiflorum_1_3_6,24.7,24.4,24,25.9,24.8,,,,,,,,,,,,,,,,,,,
grandiflorum_1_3_7,6,7.4,14.6,21.6,24.1,23.5,23.2,22.7,23.3,24.5,,,,,,,,,,,,,,
grandiflorum_1_3_8,22.6,24.2,25,24.1,,,,,,,,,,,,,,,,,,,,
grandiflorum_1_4_1,,3.3,4.6,7.3,16.5,23.2,22.7,22.7,22.2,24.4,25.4,,,,,,,,,,,,,
grandiflorum_1_4_2,,2.6,3.7,3.3,3.3,3.4,3.2,3.4,8.6,20.9,23.8,,,,,,,,,,,,,
grandiflorum_1_4_3,,2.4,5.5,3.1,4.1,3.1,3.6,4.8,14,23.1,23.5,,,,,,,,,,,,,
grandiflorum_1_4_4,,3,3.1,3.2,3.4,6.2,11,22.3,23,25.6,25.5,22.4,21,,,,,,,,,,,
grandiflorum_1_4_5,,3.1,3.1,3.6,6.3,10.2,18.6,22.7,23.8,25.6,25.4,23.6,,,,,,,,,,,,
grandiflorum_1_4_6,,0.9,1.1,2,3.3,3.6,4.5,4.2,4.8,5.8,5.6,16.6,17.8,,,,,,,,,,,
violaceum_1_1_1,,0,0,0,1.2,1.2,2.5,2.7,,2.3,5.5,23.6,37,36,37.8,32.8,,,,,,,,
violaceum_1_1_2,,0,0,0,0,1.5,1.6,2,,1.8,1.7,3.5,5.2,25.6,30.6,38,34.8,33.1,30.8,,,,,
violaceum_1_1_3,,0,0,0,0,0.9,1.5,1.7,,2.1,3.1,6.9,25.9,34.7,35.4,36.1,31.9,29.5,34,20.7,,,,
violaceum_1_1_4,,0,0,0,0,0,0.5,1.7,,2.1,4.3,6.9,28.3,34.9,34.9,34.7,32.9,28.8,,,,,,
violaceum_1_1_5,,0,1,1.3,2.4,3.8,4.1,3.9,,20.9,29,29.8,20.1,,,,,,,,,,,
violaceum_1_1_6,,0,0,0,0,1.1,1.9,2.7,,4.3,16.8,31.7,35.5,35.4,36,33.5,,,,,,,,
violaceum_1_1_7,,0,0,0,0,0,0,0,,3.4,3.5,1.6,3.2,3.1,,,,,,,,,,
violaceum_1_1_8,,0,3.1,3.5,1.3,2.8,4,10,,34.7,36.1,36.6,32.7,,,,,,,,,,,
violaceum_1_1_9,,0,0,1.1,1.5,2.2,0.9,1.6,,4,23,30.5,35.5,34.7,36,35.7,,,,,,,,
violaceum_1_1_10,,2.9,3.3,4.4,7.2,8,20,25,,33.1,36.1,24.8,,,,,,,,,,,,
violaceum_2_1_1,,17.2,27.4,31,26.5,29.9,30.1,30.7,,,,,,,,,,,,,,,,
violaceum_2_1_2,,1,1.5,2,4,3.9,7.1,25.3,31.5,32.9,32,32.2,34.2,,,,,,,,,,,
violaceum_2_1_3,,1.7,2.2,3.3,3.9,5.4,10.9,25.3,30.6,30.7,32.6,32.8,,,,,,,,,,,,
violaceum_2_1_4,,1.2,1.7,2.3,2.4,3.5,6.7,25.6,32.6,31.3,28.6,33.3,,,,,,,,,,,,
violaceum_2_1_5,,1,1.2,2.3,3.3,5.3,20.1,28.7,31.5,30,29.3,34.9,,,,,,,,,,,,
violaceum_2_1_6,,0,0,0,1.6,1.2,1.5,1.5,3.2,3.6,5.3,20.7,33.3,35.6,,,,,,,,,,
violaceum_2_1_7,,2.1,2.8,2.6,4.5,5.7,6.7,7.9,24.5,27,32.4,,,,,,,,,,,,,
violaceum_2_1_8,,2.1,2.5,3.4,19.7,29.6,34.5,34.5,32.4,36,29.5,25.7,24.6,,,,,,,,,,,
violaceum_2_1_9,,3.1,4.1,4.5,12.7,24.4,22.1,24.5,21.4,27.3,28.5,,,,,,,,,,,,,
violaceum_2_1_10,,2.3,2.2,1.6,1.6,3.2,4.1,5.7,22.8,26.8,26.5,32.1,30,,,,,,,,,,,
violaceum_2_1_11,,8.7,8.6,25.5,23.7,34,36.9,35.3,36.2,,,,,,,,,,,,,,,
violaceum_2_1_12,,2.5,2.1,2.2,3.5,3.5,6.9,22.8,32.6,27,26.9,30.1,,,,,,,,,,,,
violaceum_2_2_1,,,,,,,,,,25.6,27.4,,,,,,,,,,,,,
